"","sample","D","size","trial"
"1",31,9,50,TRUE
"2",32,6,50,TRUE
"3",33,12,50,TRUE
"4",34,5,50,TRUE
"5",35,6,50,TRUE
"6",36,4,50,TRUE
"7",37,6,50,TRUE
"8",38,3,50,TRUE
"9",39,7,50,TRUE
"10",40,6,50,TRUE
"11",41,2,50,TRUE
"12",42,4,50,TRUE
"13",43,3,50,TRUE
"14",44,6,50,TRUE
"15",45,5,50,TRUE
"16",46,4,50,TRUE
"17",47,8,50,TRUE
"18",48,5,50,TRUE
"19",49,6,50,TRUE
"20",50,7,50,TRUE
"21",51,5,50,TRUE
"22",52,6,50,TRUE
"23",53,3,50,TRUE
"24",54,5,50,TRUE
"25",55,8,50,FALSE
"26",56,7,50,FALSE
"27",57,5,50,FALSE
"28",58,6,50,FALSE
"29",59,4,50,FALSE
"30",60,5,50,FALSE
"31",61,2,50,FALSE
"32",62,3,50,FALSE
"33",63,4,50,FALSE
"34",64,7,50,FALSE
"35",65,6,50,FALSE
"36",66,5,50,FALSE
"37",67,5,50,FALSE
"38",68,3,50,FALSE
"39",69,7,50,FALSE
"40",70,9,50,FALSE
"41",71,6,50,FALSE
"42",72,10,50,FALSE
"43",73,4,50,FALSE
"44",74,3,50,FALSE
"45",75,5,50,FALSE
"46",76,8,50,FALSE
"47",77,11,50,FALSE
"48",78,9,50,FALSE
"49",79,7,50,FALSE
"50",80,3,50,FALSE
"51",81,5,50,FALSE
"52",82,2,50,FALSE
"53",83,1,50,FALSE
"54",84,4,50,FALSE
"55",85,5,50,FALSE
"56",86,3,50,FALSE
"57",87,7,50,FALSE
"58",88,6,50,FALSE
"59",89,4,50,FALSE
"60",90,4,50,FALSE
"61",91,6,50,FALSE
"62",92,8,50,FALSE
"63",93,5,50,FALSE
"64",94,6,50,FALSE
