Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87524,442.25,253.29,0.82,90546.00,0.76,1184.04,Kecimen
75166,406.69,243.03,0.80,78789.00,0.68,1121.79,Kecimen
90856,442.27,266.33,0.80,93717.00,0.64,1208.58,Kecimen
45928,286.54,208.76,0.68,47336.00,0.70,844.16,Kecimen
79408,352.19,290.83,0.56,81463.00,0.79,1073.25,Kecimen
49242,318.13,200.12,0.78,51368.00,0.66,881.84,Kecimen
42492,310.15,176.13,0.82,43904.00,0.67,823.80,Kecimen
60952,332.46,235.43,0.71,62329.00,0.74,933.37,Kecimen
42256,323.19,172.58,0.85,44743.00,0.70,849.73,Kecimen
64380,366.96,227.77,0.78,66125.00,0.66,981.54,Kecimen
80437,449.45,232.33,0.86,84460.00,0.67,1176.31,Kecimen
43725,301.32,186.95,0.78,45021.00,0.70,818.87,Kecimen
43441,276.61,201.81,0.68,45133.00,0.69,803.75,Kecimen
76792,338.86,291.36,0.51,78842.00,0.77,1042.77,Kecimen
74167,387.80,247.86,0.77,76807.00,0.68,1084.73,Kecimen
33565,261.55,167.71,0.77,35794.00,0.68,751.41,Kecimen
64670,403.08,206.48,0.86,66419.00,0.76,1028.45,Kecimen
64762,354.29,235.75,0.75,66713.00,0.69,981.51,Kecimen
43295,304.28,182.81,0.80,44714.00,0.71,814.68,Kecimen
70699,418.70,216.60,0.86,72363.00,0.73,1061.32,Kecimen
69726,354.18,252.53,0.70,71849.00,0.73,1035.50,Kecimen
57346,330.48,222.44,0.74,59365.00,0.72,928.27,Kecimen
82028,397.11,268.33,0.74,84427.00,0.69,1106.36,Kecimen
61251,301.51,273.66,0.42,64732.00,0.64,971.77,Kecimen
96277,447.13,275.22,0.79,97865.00,0.70,1181.92,Kecimen
75620,368.22,263.46,0.70,77493.00,0.73,1059.19,Kecimen
73167,340.06,276.02,0.58,74545.00,0.78,1010.47,Kecimen
60847,336.92,231.47,0.73,62492.00,0.70,964.60,Kecimen
81021,347.75,297.64,0.52,82552.00,0.76,1063.87,Kecimen
59902,358.59,222.90,0.78,63250.00,0.74,982.79,Kecimen
88745,429.77,265.69,0.79,90715.00,0.75,1162.88,Kecimen
41809,307.53,175.09,0.82,43838.00,0.70,828.70,Kecimen
75329,364.23,265.87,0.68,77541.00,0.72,1075.79,Kecimen
61600,350.18,225.84,0.76,63397.00,0.75,972.47,Kecimen
46427,253.84,235.91,0.37,48275.00,0.68,844.31,Kecimen
40861,249.74,213.57,0.52,43096.00,0.74,784.91,Kecimen
55827,305.30,234.66,0.64,57724.00,0.70,926.10,Kecimen
54182,366.07,192.01,0.85,56450.00,0.61,968.73,Kecimen
77468,405.94,245.99,0.80,79220.00,0.72,1100.68,Kecimen
49882,287.26,222.19,0.63,50880.00,0.77,843.76,Kecimen
95245,397.09,307.27,0.63,97988.00,0.75,1201.39,Kecimen
71464,364.10,253.80,0.72,73265.00,0.72,1036.94,Kecimen
77055,375.25,262.81,0.71,79255.00,0.73,1095.28,Kecimen
92384,368.41,320.71,0.49,93772.00,0.75,1135.66,Kecimen
77310,436.53,228.28,0.85,80138.00,0.63,1141.19,Kecimen
57580,330.23,232.06,0.71,60232.00,0.65,992.11,Kecimen
69708,375.45,239.13,0.77,71321.00,0.73,1022.57,Kecimen
41502,260.51,205.87,0.61,43114.00,0.82,790.43,Kecimen
45800,330.01,181.67,0.83,47802.00,0.73,870.39,Kecimen
52623,312.00,218.04,0.72,54175.00,0.68,902.62,Kecimen
44939,317.62,183.32,0.82,46400.00,0.66,845.79,Kecimen
114648,508.13,288.95,0.82,118314.00,0.68,1340.90,Kecimen
65727,403.19,210.07,0.85,67372.00,0.62,1030.16,Kecimen
45683,333.26,177.77,0.85,48787.00,0.63,901.10,Kecimen
111450,478.31,298.63,0.78,113256.00,0.69,1298.19,Kecimen
47581,306.81,203.10,0.75,49203.00,0.67,861.58,Kecimen
57127,311.64,238.64,0.64,59943.00,0.69,952.02,Kecimen
